text,label
据说 卡塔尔 要 退出 石油输出国组织 ， 这是 川普 退群潮 的 连锁反应 ， 也 是 世界秩序 和 格局 重构 的 机缘 。 对 石油 消费国 应该 是 好事,0
早上 没 起床 先 各 渠道 看看 与 川普 在 阿根廷 的 会面 。 留给 中国 国家足球队 的 时间 不多 了 。 只有 90 天 。,1
面对 加拿大 及 美国 的 无理 行为 ， 中国 也 可以 （ 无 任何理由 ） 把 加拿大 及 （ 或 ） 美国 人 ， 先抓 几个 关进 大牢 再说 ， 不会 连 打狗辱主 的 事 也 不敢 做 吧 ？ 有 其 一味 的 被动 防守 ， 就 不如 主动进攻 ， 不 做 守门员 ， 要 做 勇敢 的 射门 员 … …,0
如果 特朗普 宣布 美国 对 2000 亿 中国 出口 美国 商品 征收 10% 的 关税 ， 而 非 25% 的 关税 ， 也 就是 税率 低于 预期 的话 ， 这 算是 靴子 落地 加强 于 预期 吗 ？ 市场 会 如何 回应 ？,1
两个 白日梦 什么 时候 能 像 宣传 禁毒 一样 宣传 反 强奸 什么 时候 防空警报 能为 文革 遇难者 而鸣,0
天津日报 天津日报 ， 作为 党报 国企 ， 利用 旗下 八条 鱼 p2p 骗取 上万 百姓 的 血汗钱 ， 最后 运用 甩锅 ， 武力威胁 镇压 ， 威胁 ， 强取豪夺 ， 我 不 知道 这条 微博 多久 又 会 被和谐 ， 但 我 期望 有人 政府 能够 出面 为 我们 做主,1
中国 是 个 神奇 的 国度 。 一方面 还 在 辩论 人权 是不是 普遍 价值 ， 同时 却 必须 要 讨论 转基因 人 也 享有 同样 人权 的 基本 原则 了 。 前 现代 和 超 未来 共存 ， 厉害 了 我 的 科幻 国 。,1
《 天朝 渣 男 图鉴 》 被和谐 我 觉得 正常 啊 。 如果 是 《 天朝 渣 女 图鉴 》 然后 内容 是 杀 了 渣 女 ， 一样 会 被 封 的 ， 这 真的 跟 揭露 渣 男 什么 的 没关系 ， 而是 跟 内容 有 关系 啊 。 原作 这 段 只是 剧中 一部分 ， 是 介绍 那些 女性 为什么 而 坐牢 。 整剧 也 并 不是 只 针对 男性 ， 而是 讽刺 这个 社会 。,1
祖国 这 一年 【 中国 专利申请 数 连续 7 年 位列 全球 第一 】 世界知识产权组织 （ WIPO ） 3 日 公布 的 2017 年 世界 知识产权 报告 显示 ， 从 受理 专利申请 的 国家 和 地区 有关 数量 来看 ， 中国 的 申请 数达 138 万项 ， 占 整体 的 4 成多 ， 连续 7 年 位列 首位 。 商标权 、 设计 权 的 申请 数 也 均 为 中国 居首 。,0
川普 不 可怕 ， 可怕 的 是 小平 。 周小平 、 吴小平 、 邱小平 ， 你们 玷污 了 “ 小平 ” 二字 ， 少喷点 恐吓 民众 的 二 逼 言论 ， 比 万亿 救 市 资金 还强 ！,1
